Qty-1,Part References,Value,Package,Mfg Part Num,Mfg Name,VID,Vendor Part Num,Description,XREF
1,"C4",0.1u,0805,06035A101JAT2A,AVX,DK,478-1175-1-ND,CAP CER 100PF 50V NP0 0603,REF9
1,"C8",0.1u,0402-CAP,CC0603JRX7R7BB104,Yageo,DK,311-1776-1-ND,CAP CER 0.1UF 16V X7R 0603,REF12
1,"C5",0.1u,0805,CC0805KRX7R9BB104,Yageo,DK,311-1140-1-ND,CAP CER 0.1UF 50V X7R 0805,REF10
2,"C6, C7",0.47u,0805,CC0805KKX7R9BB474,Yageo,DK,311-1889-1-ND,CAP CER 0.47UF 50V X7R 0805,REF11
1,"D2",1SMB16CAT3G,SMB-DIODE,1SMB16CAT3G,ON SEMICONDUCTOR,DK,1SMB16CAT3GOSCT-ND,TVS DIODE 16VWM 26VC SMB,REF1
1,"C3",22n,0402-CAP,CC0805KKX7R9BB474,Yageo,DK,311-1889-1-ND,CAP CER 0.47UF 50V X7R 0805,REF11
2,"C9, C10",100p,0402-CAP,06035A101JAT2A,AVX,DK,478-1175-1-ND,CAP CER 100PF 50V NP0 0603,REF9
1,"R1",120,0402-RES,RC0603FR-07120RL,Yageo,DK,311-120HRCT-ND,RES SMD 120 OHM 1% 1/10W 0603,REF7
1,"C2",150u,CPOL-5MMX2D,EKZE160ELL680MF07D,United Chemi-Con,DK,565-1657-ND,CAP ALUM 68UF 20% 16V RADIAL,REF14
1,"C1",270u,CPOL-8MMX20MM-FLAT,EEU-TP1V271LB,Panasonic,DK,P15706CT-ND,CAP ALUM 270UF 20% 35V RADIAL,REF15
1,"IC1",LM340S-50,V-REG_DPACK,MC7805BDTRKG,ON Semiconductor,DK,MC7805BDTRKGOSCT-ND,IC REG LDO 5V 1A DPAK,REF5
1,"J1",OBDII,OBDII-STRAIGHT,OBD-II,COMTECH,SF,DEV-09911,OBD-II connector Straight,REF6
1,"SJ1",OPEN,SJ_2S-NO,***PART# '*' NOT FOUND***,*,*,*,*,*
1,"D3",PESD1CAN,SOT23,PESD1CAN,215,NXP Semiconductors,DK,568-4032-1-ND,TVS DIODE 24VWM 70VC SOT23,REF2
1,"D1",RS1J,SMA-DIODE,RS1J-E3/5AT,Vishay,DK,RS1J-E3/5ATGICT-ND,DIODE GEN PURP 600V 1A DO214AC,REF3
1,"CORE",SPARK_COREOUTSIDE,SPARK_CORE_OUTSIDE,PPPC122LFBN-RC,Sullins Connector Solutions,DK,S7115-ND,Connector Header 24 Position 0.100" (2.54mm) Gold Through Hole,REF8
1,"IC2",TJA1048T,SO14,TJA1048T,118,NXP Semiconductors,DK,568-8681-1-ND,IC CAN TRANSEIVER HS 14SOIC,REF4
